id,name,ra,dec,mag,dist_ly,spect,con
45127,HR 3667,9.223839,-38.616471,6.31,693.9,A0V,Vel
46062,HD 81575,9.418852,-43.976603,6.31,731.3,M5III,Vel
46100,HR 3736,9.425695,16.585588,6.31,278.1,G9III:,Leo
47293,37 Hya,9.66317,-10.570271,6.31,1003.6,A0Vn,Hya
49267,HR 3958,10.086219,52.371302,6.31,386.9,A5IV,UMa
49547,HR 3934,10.142888,83.918372,6.31,1320.5,K0,Cam
50350,HR 4053,10.310516,-36.804572,6.31,534.7,K2/K3III,Ant
50441,HR 4060,10.333189,-9.059004,6.31,175.7,F1IV,Sex
53013,HR 4245,10.876692,-0.201657,6.31,896.0,K5III,Leo
54133,HR 4321,11.107648,-50.956725,6.31,381.9,K2II,Cen
57829,HR 4555,11.897299,0.552114,6.31,467.3,F0V,Vir
60403,HR 4727,12.418437,63.802781,6.31,576.2,G8III,Dra
61788,HR 4820,12.701398,-69.407554,6.31,2038.5,F7Ib,Mus
62181,HR 4854,12.783974,5.950373,6.31,867.4,A0spe...,Vir
62602,HR 4880,12.868179,-48.094286,6.31,523.5,A0IV,Cen
63041,HR 4918,12.959203,-22.753499,6.31,387.8,K0III,Hya
64212,HR 4984,13.202336,24.258027,6.31,429.7,K1III,Com
